OBJECTID,BLD_ID,DEV_ID,DEV_NAME,NGHDNUM,POLICEDIVI,BLDG_POSTC,TOTAL_RESU,MRKT_UNIT,RGI_UNIT,YEAR_BUILT,BUILDING,BUILDFORM,FLR_ABV_GR,BLD_DESC,X,Y,LONGITUDE,LATITUDE
20,4029,32,Atkinson Co-operative,78,14,M5T 2H9,11,0,11,1968,Towns & Wkups,Townhouse Multiplex,3,3 - Storey Townhouse,312893.767,4834223.7,-79.399473,43.6499197
666,3007,59,Queensway Windermere,87,11,M6S 4V4,20,0,20,1973,Towns & Wkups,Stacked Townhouse Multifam.,4,4 - Storey Stacked Townhouse,307249.673,4832871.637,-79.469445,43.6377882
205,5606,101,Westacres,4,23,M9W 4C5,16,2,14,1957,Towns & Wkups,Walkup Apartment Building,2,2 - Storey Walk-Up Apt. Bldg.,299124.802,4842662.972,-79.570248,43.7259048
2021,3991,27,Humber Boulevard,111,12,M6N 2H6,215,0,215,1968,High Rise,High Rise Apt. Bldg.Elevator,14,14 - Storey High Rise Apt. Bldg.,306244.381,4837386.836,-79.481892,43.6784336
588,4741,172,Mabelle Place,14,22,M9A 5B1,128,56,72,1979,High Rise,High Rise Apt. Bldg.Elevator,13,13 - Storey High Rise Apt. Bldg.,302478.099,4833670.075,-79.528585,43.6449745
173,3736,26,Thistletown 2,2,23,M9V 3S5,6,0,6,1968,Towns & Wkups,Townhouse Multiplex,2,2 - Storey Townhouse Sixplex,297357.766,4844101.632,-79.592201,43.7388389
198,3751,26,Thistletown 2,2,23,M9V 3R3,9,0,9,1968,Towns & Wkups,Townhouse Multiplex,2,2 - Storey Townhouse Multifam,297663.949,4843755.028,-79.588395,43.7357221
42,3821,58,Finch Ardwick,22,31,M9M 1V7,25,0,25,1967,Towns & Wkups,Townhouse Multiplex,2,2 - Storey Townhouse Multifam,300240.945,4845161.463,-79.556416,43.7484025
60,3869,45,Kipling Mount Olive,2,23,M9V 2C6,20,0,20,1967,Towns & Wkups,Townhouse Centre Hall Mulrifam.,2,2 - Storey Townhouse Centre Hall,297939.812,4844926.198,-79.584982,43.7462582
149,3721,210,Thistletown 1,2,23,M9V 3M5,8,0,8,1966,Towns & Wkups,Townhouse Multiplex,3,3 - Storey Townhouse Multifam,297903.926,4843607.864,-79.585411,43.7343912
1230,5722,351,Stephenson Ave. (139),62,55,M4C 1G2,13,9,4,1983,Towns & Wkups,Stacked Townhouse Multifam.,3,3 - Storey Stacked Townhouse,320753.907,4838326.94,-79.301914,43.6867266
1288,4808,316,South St. Jamestown 1,71,51,M4X 1A6,13,0,13,1890,Houses,House Semi-Detached Multiplex,3,3-Storey Semi-detached House - Multiplex (hist),315241.221,4835929.11,-79.37034,43.6652408
95,69671,901,Queens Plate Dr. (900-910),1,23,M9W 6Z3,204,60,144,1994,High Rise,High Rise Apt. Bldg.Elevator,16,16 - Storey High Rise Apt. Bldg.,296449.206,4842001.861,-79.603448,43.719929
137,3703,210,Thistletown 1,2,23,M9V 3M6,7,0,7,1966,Towns & Wkups,Townhouse Multiplex,3,3 - Storey Townhouse Multifam,297974.303,4843485.687,-79.584536,43.7332921
141,3709,210,Thistletown 1,2,23,M9V 3M6,6,0,6,1966,Towns & Wkups,Townhouse Multiplex,3,3 - Storey Townhouse Multifam,297914.656,4843559.339,-79.585277,43.7339545
148,3717,210,Thistletown 1,2,23,M9V 3M6,10,0,10,1966,Towns & Wkups,Townhouse Multiplex,3,3 - Storey Townhouse Multifam,298006.445,4843555.34,-79.584138,43.7339193
153,90119,210,Thistletown 1,2,23,M9V 3M5,8,0,8,1966,Towns & Wkups,Townhouse Multiplex,3,3 - Storey Townhouse Multifam,297869.254,4843614.499,-79.585841,43.7344506
105,3909,30,Tandridge Crescent 1,5,23,,20,0,20,1965,Towns & Wkups,Townhouse Multiplex,3,3 - Storey Townhouse Multifam,301031.892,4843104.35,-79.54658,43.72989
1742,90098,178,Empringham Mews,132,42,M1B 4A2,7,1,6,1983,Towns & Wkups,Townhouse Multiplex,3,3 - Storey Townhouse,327894.569,4852288.829,-79.212743,43.8122131
1690,90053,218,Victoria Park Chester Le,117,42,M1W 2M9,6,0,6,1973,Towns & Wkups,Townhouse Multiplex,2,2 - Storey Townhouse Sixplex,318353.698,4850644.859,-79.331378,43.7976501
423,3513,80,Lawrence Orton,137,43,M1G 1R9,20,0,20,1970,Towns & Wkups,Walkup Apartment Building,2,2 - Storey Low Rise Apt Bldg.,328606.14,4846825.304,-79.20414,43.7630131
430,3524,215,Lawrence Valia,136,43,M1E 3W2,10,0,10,1972,Towns & Wkups,Townhouse Multiplex,2,2 - Storey Townhouse Multifam,331126.337,4847713.69,-79.172796,43.7709249
1566,3533,16,Canlish Road,126,41,M1P 4M9,10,0,10,1955,Towns & Wkups,Townhouse Multiplex,2,2 - Storey Townhouse Multifam,322383.875,4845280.055,-79.281469,43.7492766
1067,5572,367,Kingston Rd. (530),62,55,M4L 1V4,90,18,72,1954,Low Rise,Low Rise Apt. Bldg.Elevator,3,3 - Storey Low Rise Apt. Bldg.,320757.097,4837387.866,-79.301902,43.6782739
529,4106,208,Warden Woods,121,41,M1L 1N6,10,0,10,1962,Towns & Wkups,Townhouse Multiplex,2,2 - Storey Townhouse,322684.736,4840094.652,-79.277905,43.7025948
1630,90073,48,Allenbury Gardens,47,33,M2J 3E1,11,0,11,1965,Towns & Wkups,Townhouse Centre Hall Mulrifam.,2,2 - Storey Townhouse Centre Hall,317290.108,4848746.661,-79.344638,43.7805833
